"busArea","projektledn","interaktionsdesign","webbutv","processutv","BIanalytics","verksamhetsutv","kravanalys","utbildning","infomod","systemutveckling","forandringsledn","ITstrategi","behovsanalys","testledn","systemarkitektur"
"1","BA",0,1,1,1,1,0,1,0,1,1,0,0,0,0,0
"2","BD",0,0,0,1,1,0,0,0,0,0,0,1,0,0,0
"3","BT",1,0,0,1,0,1,0,0,0,0,1,0,0,0,0
"4","BA",0,0,0,1,1,0,0,0,1,1,0,1,0,0,0
"5","BA",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"6","BS",1,0,1,0,1,0,0,1,0,0,0,1,0,0,0
"7","BD",1,0,0,1,0,1,1,1,0,0,0,0,1,0,0
"8","BS",1,0,1,1,0,0,1,0,1,1,0,0,0,1,1
"9","BD",1,0,0,1,0,1,0,1,0,0,0,1,1,0,0
"10","BA",0,1,0,0,0,0,1,1,0,1,0,0,0,1,0
"11","BS",0,1,1,0,0,0,0,1,1,1,0,0,0,0,1
"12","BT",1,0,0,1,0,1,1,1,1,0,0,0,1,0,0
"13","BS",0,1,1,0,0,0,0,0,0,1,0,0,0,0,1
"14","BS",1,1,1,1,1,0,0,0,1,1,0,1,0,0,1
"15","BA",0,1,0,1,1,0,1,0,1,0,1,0,1,0,0
"16","BA",0,0,0,1,0,1,1,0,1,1,0,0,0,0,1
"17","BA",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"18","BS",0,0,1,0,0,0,1,0,0,1,0,0,0,1,0
"19","BS",0,0,1,0,0,1,0,0,0,1,0,1,0,0,1
"20","BS",0,1,1,0,0,0,0,0,0,1,0,0,0,0,0
"21","BS",1,0,1,0,0,1,0,0,0,0,1,0,0,0,0
"22","BS",1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
"23","BS",0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
"24","BD",1,0,0,0,0,1,0,1,0,0,1,1,0,0,0
"25","BS",0,0,1,0,0,0,0,0,1,1,0,0,0,0,1
"26","BD",1,1,0,0,0,1,1,0,0,0,0,0,0,0,0
"27","BA",1,0,0,1,1,1,1,1,1,1,1,1,0,1,1
"28","BA",1,0,0,1,1,1,1,0,1,1,0,1,1,0,1
"29","BD",1,0,0,1,1,1,1,1,0,0,0,1,0,0,0
"30","BA",1,1,0,0,1,1,1,0,1,0,1,1,1,1,1
"31","BT",1,0,0,1,0,1,0,1,0,0,1,1,1,0,1
"32","BS",0,1,1,0,0,0,0,0,0,1,0,0,0,0,0
"33","BT",1,0,0,1,1,1,0,0,0,0,1,1,1,0,0
"34","BS",1,1,1,0,0,0,1,1,0,1,0,0,0,0,1
"35","BD",1,0,0,1,1,1,1,1,1,0,0,1,1,0,1
"36","BT",1,0,0,1,0,1,1,1,0,0,0,1,1,0,0
"37","BS",0,0,1,0,0,0,1,1,1,1,0,0,0,0,1
"38","BD",0,0,1,1,0,1,1,1,1,1,1,1,1,0,1
"39","BA",1,0,0,0,0,0,1,1,0,0,1,0,1,0,1
"40","BS",0,0,1,1,0,0,1,1,1,1,0,0,0,0,1
"41","BD",1,0,0,1,0,1,1,1,1,1,1,0,0,0,0
"42","BD",1,0,0,1,0,1,1,1,1,0,0,0,1,0,0
"43","BD",0,0,0,1,1,0,1,0,0,0,0,0,0,0,0
"44","BS",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"45","BT",1,0,0,1,0,1,1,0,0,0,0,0,0,0,0
"46","BS",0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"47","BT",1,0,0,1,0,1,0,1,0,0,1,1,1,0,0
"48","BS",1,0,1,0,0,1,1,1,1,0,0,1,0,1,0
"49","BD",1,0,0,1,0,1,1,1,0,0,1,0,1,1,0
"50","BA",0,0,1,1,1,1,1,0,1,0,0,0,1,0,1
"51","BD",1,0,0,1,0,0,0,1,1,1,0,1,0,0,0
"52","BD",1,0,0,1,0,1,1,1,0,0,1,1,1,1,1
"53","BT",0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
"54","BA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
